WINNING_TEAM, LOSING_TEAM
Appalachian St,Wofford
Florida,Georgia
James Madison,UNC Wilmington
Stony Brook,Binghamton
Southern Miss,Rice
Akron,W Michigan
G Washington,St Bonaventure
Ohio,Buffalo
Marshall,Tulsa
Coastal Car,Presbyterian
Mississippi,Tennessee
Oklahoma St,TCU
Texas A&M,Arkansas
Minnesota,Illinois
UCF,UAB
Wright St,Cleveland St
Michigan,Nebraska
Delaware,Hofstra
Louisville,Seton Hall
Indiana St,Bradley
Washington,California
Memphis,East Carolina
Towson,William & Mary
VMI,Liberty
NC State,Georgia Tech
WI Green Bay,Loyola-Chicago
Air Force,Nevada
VA Commonwealth,Dayton
Toledo,Kent
Charleston So,Winthrop
E Kentucky,Murray St
Utah Valley,Missouri KC
CS Fullerton,CS Bakersfield
MD Baltimore Co,New Hampshire
N Illinois,Miami OH
Boston College,Virginia Tech
Houston,SMU
Stanford,Washington St
Campbell,Longwood
Charlotte,La Salle
UTEP,Tulane
Long Beach St,CS Northridge
Kansas,Iowa St
Villanova,South Florida
Hartford,Maine
Gardner Webb,UNC Asheville
Fordham,Duquesne
Butler,St Joseph's PA
C Michigan,Bowling Green
Syracuse,Providence
Wichita St,S Illinois
New Mexico,UNLV
Radford,High Point
Valparaiso,IL Chicago
Auburn,LSU
West Virginia,Texas
UC Irvine,Hawaii
Richmond,Rhode Island
Austin Peay,Morehead St
Florida St,Maryland
Evansville,Northern Iowa
Wake Forest,Virginia
San Diego St,Fresno St
Boise St,Wyoming
Ball St,E Michigan
Rutgers,St John's
Mississippi St,South Carolina
Detroit,Youngstown St
Belmont,SE Missouri St
Robert Morris,F Dickinson
Tennessee St,TN Martin
George Mason,Old Dominion
BYU,Pepperdine
E Washington,Northern Arizona
Mercer,North Florida
Pacific,Santa Barbara
Portland St,CS Sacramento
Louisiana Tech,Texas St
Northwestern,Penn St
Montana,North Dakota
St Francis NY,Mt St Mary's
Ark Little Rock,North Texas
Jacksonville St,Edwardsville
N Dakota St,IPFW
Wagner,Long Island
NE Omaha,IUPUI
Sam Houston St,Lamar
Middle Tenn St,FL Atlantic
Arizona St,Oregon St
Miami FL,North Carolina
Rider,Manhattan
Troy,ULM
St Louis,Massachusetts
Bryant,Quinnipiac
UT Arlington,UT San Antonio
SF Austin,Cent Arkansas
Jacksonville,Kennesaw
S Dakota St,Oakland
Weber St,Southern Utah
Denver,Idaho
Central Conn,Sacred Heart
Oral Roberts,Northwestern LA
Colorado,USC
Xavier,Temple
Monmouth NJ,St Francis PA
Chattanooga,Citadel
Samford,Col Charleston
Gonzaga,St Mary's CA
Iona,Marist
San Diego,San Francisco
Loy Marymount,Santa Clara
Tennessee Tech,E Illinois
McNeese St,TAM C. Christi
Oregon,Arizona
UCLA,Utah
Michigan St,Iowa
Montana St,N Colorado
Stetson,ETSU
South Alabama,ULL
Florida Intl,Arkansas St
Kentucky,Vanderbilt
UC Davis,Cal Poly SLO
FL Gulf Coast,SC Upstate
New Mexico St,Seattle
Creighton,Missouri St
Niagara,St Peter's
N Kentucky,Lipscomb
Loyola MD,Fairfield
Siena,Canisius
Wright St,Loyola-Chicago
Belmont,TN Martin
Southern Univ,Ark Pine Bluff
Lehigh,Holy Cross
Northern Iowa,Bradley
New Mexico,Fresno St
Col Charleston,Chattanooga
TX Southern,Jackson St
Louisville,South Florida
S Dakota St,IPFW
Valparaiso,WI Milwaukee
Boston Univ,Binghamton
Wisconsin,Illinois
Arkansas,Vanderbilt
NC Central,Florida A&M
Florida,LSU
Pacific,Cal Poly SLO
Bucknell,Army
Utah Valley,Houston Bap
Iowa St,Texas
Southern Miss,Houston
St Francis NY,Wagner
VMI,Winthrop
UNC Asheville,Radford
BYU,Santa Clara
Wofford,Ga Southern
Lafayette,Navy
UT Arlington,Texas St
USC,Utah
Georgetown,St John's
Morgan St,S Carolina St
Prairie View,Grambling
Campbell,Presbyterian
Memphis,UAB
Clemson,Virginia
W Illinois,NE Omaha
Vermont,MD Baltimore Co
Xavier,G Washington
Akron,N Illinois
Sam Houston St,McNeese St
Robert Morris,Monmouth NJ
Mississippi,Missouri
Long Island,Mt St Mary's
Stony Brook,Hartford
Kent,Ball St
Kansas,Texas Tech
Tulsa,Rice
Charleston So,Longwood
North Dakota,Montana St
California,Washington St
Denver,Seattle
Albany NY,Maine
La Salle,Richmond
San Diego,Pepperdine
Bethune-Cookman,NC A&T
Texas A&M,Kentucky
Cleveland St,Detroit
Northwestern LA,Cent Arkansas
Princeton,Penn
Ark Little Rock,Florida Intl
Tennessee St,SE Missouri St
Northeastern,Towson
Syracuse,Villanova
Baylor,TCU
Mississippi St,Georgia
UTEP,Marshall
Wyoming,Nevada
Hofstra,William & Mary
SF Austin,Oral Roberts
Cincinnati,Rutgers
ETSU,FL Gulf Coast
Harvard,Dartmouth
Appalachian St,Elon
Temple,St Louis
F Dickinson,St Francis PA
North Texas,South Alabama
Arizona,Oregon St
UC Irvine,CS Northridge
Middle Tenn St,ULM
American Univ,Colgate
Oklahoma,Oklahoma St
North Florida,Kennesaw
Charlotte,Rhode Island
NC State,Duke
Savannah St,Coppin St
James Madison,Drexel
Davidson,Furman
N Dakota St,Oakland
UNC Wilmington,George Mason
St Joseph's PA,Duquesne
Liberty,Coastal Car
Montana,N Colorado
VA Commonwealth,St Bonaventure
Indiana,Minnesota
Marquette,Pittsburgh
Connecticut,Notre Dame
Bryant,Central Conn
Alabama A&M,Alabama St
E Kentucky,Morehead St
San Diego St,Colorado St
CS Sacramento,E Washington
Santa Barbara,UC Davis
WI Green Bay,IL Chicago
Butler,Dayton
SMU,Tulane
St Mary's CA,San Francisco
Sacred Heart,Quinnipiac
TAM C. Christi,Lamar
High Point,Gardner Webb
Jacksonville St,E Illinois
Utah St,San Jose St
North Carolina,Florida St
Virginia Tech,Georgia Tech
NJIT,Chicago St
Norfolk St,MD E Shore
SE Louisiana,Nicholls St
Alcorn St,MS Valley St
ULL,Arkansas St
Drake,Illinois St
S Illinois,Indiana St
UNLV,Air Force
Portland St,Northern Arizona
Washington,Stanford
Portland,Loy Marymount
Toledo,C Michigan
Samford,Citadel
Long Beach St,Hawaii
Edwardsville,Tennessee Tech
Missouri KC,South Dakota
W Carolina,UNC Greensboro
Alabama,Tennessee
Auburn,South Carolina
Delaware,Georgia St
UCLA,Colorado
Wake Forest,Boston College
East Carolina,UCF
FL Atlantic,W Kentucky
Murray St,Austin Peay
Ohio,W Michigan
Jacksonville,Mercer
Hampton,Howard
Stetson,SC Upstate
Bowling Green,E Michigan
Louisiana Tech,UT San Antonio
CS Fullerton,UC Riverside
Kansas St,West Virginia
Miami OH,Buffalo
Idaho St,Southern Utah
New Mexico St,Idaho
Iowa,Northwestern
Purdue,Penn St
Siena,St Peter's
Providence,Seton Hall
Manhattan,Marist
Michigan St,Nebraska
Iona,Canisius
Rider,Loyola MD
Miami FL,Maryland
Massachusetts,Fordham
Evansville,Wichita St
Ohio St,Michigan
Niagara,Fairfield
Oregon,Arizona St
TX Southern,Grambling
Southern Univ,MS Valley St
NC A&T,Florida A&M
UTEP,Houston Bap
Coppin St,S Carolina St
Kansas,Baylor
Weber St,Idaho St
Louisville,Connecticut
Prairie View,Jackson St
Ga Southern,Davidson
Appalachian St,UNC Greensboro
Elon,W Carolina
Ark Pine Bluff,Alcorn St
NC Central,Bethune-Cookman
Savannah St,Morgan St
Hampton,Quinnipiac
Norfolk St,Howard
Furman,Wofford
Col Charleston,Citadel
NJIT,F Dickinson
Stony Brook,Boston Univ
Clemson,Wake Forest
Creighton,Northern Iowa
Kentucky,Tennessee
Mississippi,Vanderbilt
E Michigan,C Michigan
Cincinnati,DePaul
Wisconsin,Indiana
St John's,Notre Dame
Bradley,S Illinois
Colorado St,Air Force
Alabama,Mississippi St
Memphis,Rice
Vermont,Binghamton
W Michigan,Toledo
Army,Lafayette
VMI,Campbell
UNC Greensboro,Wofford
Ohio,N Illinois
Oklahoma,Texas Tech
Missouri,Georgia
Georgia St,William & Mary
Holy Cross,Navy
Butler,Richmond
Pittsburgh,Villanova
Bucknell,Colgate
Drake,Evansville
MD Baltimore Co,Hartford
Fresno St,Wyoming
Kansas St,TCU
Kent,Buffalo
Wichita St,Illinois St
George Mason,James Madison
Winthrop,Presbyterian
East Carolina,Houston
Radford,Longwood
Washington St,Utah
Washington,Colorado
South Carolina,LSU
Georgetown,Providence
Michigan St,Penn St
Purdue,Nebraska
Indiana St,Missouri St
Arkansas,Auburn
Akron,Ball St
Marquette,Seton Hall
UNLV,San Diego St
Albany NY,New Hampshire
Charleston So,UNC Asheville
Lehigh,American Univ
Charlotte,Fordham
UNC Wilmington,Old Dominion
High Point,Liberty
Northeastern,Hofstra
New Mexico,Boise St
Southern Miss,SMU
Miami OH,Bowling Green
Tulsa,UTEP
Towson,Delaware
Xavier,St Bonaventure
Temple,G Washington
La Salle,Dayton
IL Chicago,Loyola-Chicago
Iowa St,West Virginia
Maryland,NC State
Miami FL,Boston College
Gardner Webb,Coastal Car
St Mary's CA,BYU
N Dakota St,IUPUI
Denver,San Jose St
Davidson,Citadel
Middle Tenn St,Ark Little Rock
Santa Clara,San Francisco
UC Irvine,CS Fullerton
Niagara,Siena
W Kentucky,ULL
Gonzaga,Portland
FL Atlantic,Troy
Florida,Texas A&M
Murray St,E Illinois
Mercer,ETSU
North Dakota,E Washington
Seattle,UT Arlington
N Colorado,Portland St
Morehead St,SE Missouri St
Duke,Georgia Tech
South Alabama,ULM
Nicholls St,Northwestern LA
Elon,Furman
Loyola MD,Marist
Northwestern,Illinois
Massachusetts,Duquesne
Oakland,Missouri KC
Edwardsville,Austin Peay
Weber St,Northern Arizona
New Mexico St,Utah St
SC Upstate,Kennesaw
Stetson,N Kentucky
WI Milwaukee,Cleveland St
Oral Roberts,TAM C. Christi
Rider,St Peter's
SF Austin,SE Louisiana
Sam Houston St,Cent Arkansas
UCLA,Oregon St
WI Green Bay,Youngstown St
Lipscomb,FL Gulf Coast
Long Beach St,UC Riverside
Quinnipiac,St Francis PA
San Diego,Loy Marymount
Michigan,Minnesota
Hawaii,Pacific
Central Conn,Wagner
Belmont,E Kentucky
Florida Intl,North Texas
S Dakota St,W Illinois
Louisiana Tech,Idaho
Tennessee St,Jacksonville St
Montana,Southern Utah
VA Commonwealth,St Joseph's PA
Monmouth NJ,St Francis NY
Long Island,F Dickinson
Ga Southern,Col Charleston
Canisius,Manhattan
Samford,W Carolina
Robert Morris,Sacred Heart
Chattanooga,Appalachian St
Rutgers,South Florida
UC Davis,CS Northridge
IPFW,South Dakota
Oregon,USC
Valparaiso,Detroit
Bryant,Mt St Mary's
Penn,NJIT
Idaho St,CS Sacramento
Iona,Fairfield
Jacksonville,North Florida
Vermont,Stony Brook
Detroit,IL Chicago
W Michigan,N Illinois
Northwestern LA,SE Louisiana
Oklahoma St,Texas Tech
Canisius,Siena
Florida,Missouri
WI Green Bay,Cleveland St
Purdue,West Virginia
VA Commonwealth,Duquesne
Towson,James Madison
Chicago St,Houston Bap
McNeese St,Lamar
NC A&T,Howard
Rice,New Orleans
Arkansas St,ULM
Coastal Car,VMI
Bryant,Wagner
SF Austin,Nicholls St
St Mary's CA,Portland
Middle Tenn St,ULL
Kentucky,Auburn
Marshall,East Carolina
Richmond,Charlotte
Virginia,Florida St
St Joseph's PA,Penn
Holy Cross,American Univ
St Francis NY,F Dickinson
FL Gulf Coast,N Kentucky
South Dakota,Oakland
BYU,San Diego
Arizona,Arizona St
New Mexico St,San Jose St
N Colorado,E Washington
Stetson,Lipscomb
Southern Miss,UAB
S Dakota St,IUPUI
Tennessee,Mississippi St
Citadel,Ga Southern
Lehigh,Colgate
Georgia St,Old Dominion
Bucknell,Lafayette
C Michigan,Ball St
Brown,Yale
Morehead St,TN Martin
Iowa St,TCU
Wyoming,San Diego St
Idaho,UT Arlington
Mississippi,Arkansas
Southern Univ,Alabama St
SE Missouri St,Tennessee Tech
Belmont,Tennessee St
Pacific,CS Northridge
Robert Morris,Quinnipiac
George Mason,Hofstra
Drexel,William & Mary
Air Force,Boise St
E Kentucky,Jacksonville St
Jackson St,Grambling
Denver,Utah St
Marist,St Peter's
UC Davis,Hawaii
Albany NY,Hartford
Long Island,Monmouth NJ
Boston Univ,New Hampshire
North Carolina,Maryland
Memphis,Harvard
ETSU,Kennesaw
Stanford,California
Alcorn St,Alabama A&M
Indiana St,Evansville
E Illinois,Austin Peay
Long Beach St,CS Fullerton
UC Riverside,UC Irvine
Ohio,Toledo
St John's,DePaul
San Francisco,Loy Marymount
North Dakota,Portland St
Columbia,Cornell
Kansas St,Oklahoma
Oregon,UCLA
Cent Arkansas,TAM C. Christi
MS Valley St,Prairie View
Davidson,Col Charleston
W Carolina,Chattanooga
Georgia,LSU
Murray St,Edwardsville
UTEP,SMU
Weber St,CS Sacramento
Colorado,Washington St
Utah,Washington
Pittsburgh,Connecticut
Bethune-Cookman,S Carolina St
Mercer,SC Upstate
Charleston So,High Point
Presbyterian,Liberty
W Illinois,N Dakota St
Xavier,La Salle
Vanderbilt,South Carolina
E Michigan,Miami OH
Santa Clara,Pepperdine
Nevada,Fresno St
Norfolk St,Coppin St
Elon,Wofford
Louisiana Tech,Seattle
Florida Intl,Troy
Valparaiso,Wright St
MD E Shore,Delaware St
Kansas,Texas
Mt St Mary's,Central Conn
Ark Little Rock,W Kentucky
Colorado St,UNLV
Montana,Montana St
Northern Arizona,Idaho St
CS Bakersfield,NE Omaha
UCF,Houston
Nebraska,Penn St
Campbell,Winthrop
Northeastern,Delaware
Niagara,Manhattan
Oral Roberts,Sam Houston St
Missouri KC,IPFW
Akron,Kent
Samford,Appalachian St
Iowa,Wisconsin
South Florida,Georgetown
Notre Dame,Rutgers
G Washington,Massachusetts
Ark Pine Bluff,TX Southern
St Bonaventure,Temple
Bradley,Missouri St
Wichita St,Creighton
Providence,Villanova
UNC Asheville,Longwood
Michigan St,Ohio St
Buffalo,Bowling Green
Texas St,UT San Antonio
Tulane,Tulsa
Youngstown St,WI Milwaukee
Sacred Heart,St Francis PA
Rhode Island,St Louis
Savannah St,Florida A&M
Syracuse,Louisville
Cincinnati,Marquette
Morgan St,Hampton
North Texas,FL Atlantic
TX Pan American,Utah Valley
Santa Barbara,Cal Poly SLO
Binghamton,Maine
Virginia Tech,Wake Forest
Alabama,Texas A&M
Radford,Gardner Webb
USC,Oregon St
Butler,Gonzaga
Northern Iowa,Drake
Illinois St,S Illinois
Navy,Army
Indiana,Northwestern
Furman,UNC Greensboro
Rider,Iona
NC State,Clemson
Loyola-Chicago,Chicago St
NC Central,Howard
TX Southern,MS Valley St
Georgetown,Notre Dame
Southern Univ,Alabama A&M
Florida A&M,S Carolina St
Baylor,Oklahoma St
Montana St,Southern Utah
Oklahoma,Texas
Loyola MD,Fairfield
Ark Pine Bluff,Prairie View
Alabama St,Alcorn St
Savannah St,Bethune-Cookman
Syracuse,Cincinnati
Georgia St,Towson
Wright St,Detroit
New Orleans,NJIT
Coppin St,Hampton
Norfolk St,Morgan St
Liberty,Longwood
Illinois,Nebraska
Memphis,Tulane
Ohio St,Iowa
Villanova,Louisville
Missouri,South Carolina
Maryland,Boston College
Pittsburgh,Providence
Kansas,Kansas St
Alabama,Kentucky
Maine,Vermont
Michigan St,Wisconsin
Wake Forest,NC State
Houston Bap,Missouri KC
Southern Miss,Marshall
Dayton,Fordham
Air Force,New Orleans
Santa Clara,CS Bakersfield
High Point,VMI
Miami FL,Duke
Arkansas,Mississippi St
Indiana,Penn St
American Univ,Navy
West Virginia,TCU
San Diego St,Nevada
Charleston So,Presbyterian
Georgia St,UNC Wilmington
Delaware St,Howard
Florida,Georgia
North Carolina,Georgia Tech
Tulsa,Houston
Akron,Toledo
Bowling Green,Kent
James Madison,Delaware
N Illinois,C Michigan
Northern Iowa,S Illinois
Ohio,Miami OH
Loyola-Chicago,Cleveland St
St John's,Rutgers
Vanderbilt,Auburn
Valparaiso,WI Green Bay
UCF,Rice
New Mexico St,Denver
George Mason,Towson
Lafayette,Holy Cross
IL Chicago,WI Milwaukee
Evansville,Bradley
Wichita St,Missouri St
St Bonaventure,St Joseph's PA
St Louis,Duquesne
Campbell,Radford
Seton Hall,South Florida
Oregon St,Washington
Stony Brook,MD Baltimore Co
Youngstown St,Wright St
Temple,Penn
Boise St,Fresno St
Northwestern,Minnesota
Oregon,Washington St
Winthrop,Gardner Webb
Charlotte,Xavier
East Carolina,UAB
Boston Univ,Albany NY
New Mexico,Colorado St
Drake,Creighton
Texas Tech,Iowa St
W Michigan,E Michigan
Northeastern,William & Mary
LSU,Texas A&M
Lehigh,Bucknell
Drexel,Hofstra
Buffalo,Ball St
UNC Asheville,Coastal Car
Colgate,Army
Illinois St,Indiana St
G Washington,Rhode Island
La Salle,Butler
Fairfield,Marist
St Mary's CA,San Diego
Cal Poly SLO,Hawaii
Elon,Chattanooga
Louisiana Tech,San Jose St
Colorado,Stanford
Gonzaga,BYU
Monmouth NJ,F Dickinson
Montana,Idaho St
Oakland,IUPUI
N Kentucky,Mercer
Oral Roberts,Lamar
Virginia,Virginia Tech
Michigan,Purdue
Col Charleston,Citadel
Robert Morris,St Francis PA
Wofford,Furman
E Illinois,TN Martin
Southern Utah,Portland St
Richmond,VA Commonwealth
UNLV,Wyoming
Hartford,New Hampshire
Sacred Heart,Bryant
UCLA,Arizona
Long Island,St Francis NY
E Kentucky,Tennessee St
CS Sacramento,North Dakota
Murray St,Tennessee Tech
South Alabama,W Kentucky
Middle Tenn St,North Texas
Lipscomb,Kennesaw
Quinnipiac,Central Conn
Jacksonville St,Austin Peay
Troy,Arkansas St
Nicholls St,TAM C. Christi
CS Fullerton,UC Davis
Mississippi,Tennessee
SC Upstate,North Florida
UT Arlington,Utah St
CS Northridge,Santa Barbara
Davidson,W Carolina
NE Omaha,South Dakota
Florida Intl,ULL
California,Utah
Cent Arkansas,McNeese St
Montana St,Weber St
Pacific,UC Riverside
Texas St,Idaho
Arizona St,USC
SE Louisiana,Sam Houston St
Pepperdine,Loy Marymount
San Francisco,Portland
Jacksonville,ETSU
W Illinois,IPFW
Edwardsville,SE Missouri St
Florida St,Clemson
Ark Little Rock,FL Atlantic
UT San Antonio,Seattle
Northern Arizona,N Colorado
UNC Greensboro,Samford
Appalachian St,Ga Southern
Wagner,Mt St Mary's
Belmont,Morehead St
FL Gulf Coast,Stetson
WI Green Bay,WI Milwaukee
Iona,St Peter's
Canisius,Rider
Loyola MD,Manhattan
Niagara,Siena
Pittsburgh,DePaul
Florida,Mississippi St
Wichita St,Bradley
TX Southern,Alabama A&M
Cent Arkansas,Lamar
Col Charleston,Wofford
G Washington,Charlotte
Baylor,TCU
Wagner,St Francis PA
Arkansas St,FL Atlantic
Arizona,USC
Davidson,Appalachian St
Missouri,Vanderbilt
Long Beach St,UC Irvine
Lafayette,Lehigh
South Carolina,Arkansas
San Diego St,New Mexico
Oral Roberts,McNeese St
Ball St,Miami OH
Duke,Maryland
Georgia Tech,Wake Forest
Northeastern,George Mason
Middle Tenn St,W Kentucky
UT Arlington,San Jose St
Tennessee Tech,Austin Peay
BYU,Portland
New Hampshire,Binghamton
Arizona St,UCLA
E Michigan,N Illinois
W Michigan,C Michigan
Nevada,Boise St
Delaware St,Bethune-Cookman
Dayton,Duquesne
S Dakota St,N Dakota St
Texas,Texas Tech
Nebraska,Northwestern
Savannah St,S Carolina St
SC Upstate,Jacksonville
Ohio St,Penn St
Virginia,Boston College
Gardner Webb,VMI
Oklahoma St,West Virginia
Youngstown St,Cleveland St
Gonzaga,San Francisco
Santa Clara,San Diego
ETSU,North Florida
SE Louisiana,TAM C. Christi
Colgate,Navy
Coastal Car,Campbell
Sacred Heart,Monmouth NJ
Southern Utah,E Washington
Kansas,Oklahoma
Army,American Univ
NJIT,TX Pan American
Toledo,Bowling Green
Yale,Brown
St Mary's CA,Pepperdine
Detroit,Loyola-Chicago
Butler,Temple
Ark Pine Bluff,Grambling
Drexel,Georgia St
UNC Asheville,High Point
Presbyterian,Longwood
Belmont,E Kentucky
N Kentucky,Kennesaw
Cal Poly SLO,CS Northridge
Colorado St,Fresno St
St Louis,St Bonaventure
Stony Brook,Maine
Marquette,Providence
James Madison,Old Dominion
St Joseph's PA,Xavier
UCF,SMU
Air Force,Wyoming
NC Central,Coppin St
Morehead St,Tennessee St
Notre Dame,South Florida
UNC Greensboro,Chattanooga
NE Omaha,Missouri KC
Chicago St,Utah Valley
Robert Morris,Mt St Mary's
NC State,North Carolina
La Salle,VA Commonwealth
Bucknell,Holy Cross
Oakland,W Illinois
Troy,ULM
Georgia,Texas A&M
Norfolk St,Hampton
William & Mary,Towson
Vermont,Albany NY
Tulane,Rice
UC Davis,UC Riverside
CS Sacramento,N Colorado
Ga Southern,W Carolina
Boston Univ,MD Baltimore Co
Iowa St,Kansas St
UNC Wilmington,Hofstra
IL Chicago,Wright St
E Illinois,SE Missouri St
Mercer,Lipscomb
Houston,UAB
Harvard,Dartmouth
Kentucky,LSU
Oregon,Washington
Illinois St,Evansville
Ark Little Rock,North Texas
Hawaii,Santa Barbara
Villanova,Syracuse
Akron,Buffalo
Alcorn St,Southern Univ
Elon,Citadel
Northwestern LA,SF Austin
Charleston So,Liberty
Pacific,CS Fullerton
Idaho,UT San Antonio
Fordham,Rhode Island
Southern Miss,Tulsa
Morgan St,NC A&T
Washington St,Oregon St
Nicholls St,Sam Houston St
Jackson St,MS Valley St
Cornell,Columbia
TN Martin,Edwardsville
Louisiana Tech,Utah St
Texas St,Seattle
Georgetown,Louisville
North Dakota,Northern Arizona
Montana St,Idaho St
Central Conn,St Francis NY
Quinnipiac,F Dickinson
Mississippi,Auburn
Prairie View,Alabama St
Montana,Weber St
Ohio,Kent
Radford,Winthrop
Memphis,Marshall
Indiana St,Northern Iowa
Wisconsin,Minnesota
Tennessee,Alabama
Long Island,Bryant
UTEP,East Carolina
Jacksonville St,Murray St
Florida A&M,MD E Shore
IPFW,IUPUI
Stanford,Utah
Creighton,S Illinois
Miami FL,Florida St
Michigan,Illinois
Connecticut,Rutgers
Manhattan,Rider
Colorado,California
Iona,Loyola MD
Clemson,Virginia Tech
Fairfield,St Peter's
Missouri St,Drake
Massachusetts,Richmond
Indiana,Michigan St
St John's,Seton Hall
Siena,Marist
Purdue,Iowa
South Alabama,Florida Intl
Niagara,Canisius
TX Southern,Alabama St
Prairie View,Alabama A&M
SC Upstate,ETSU
Jackson St,Ark Pine Bluff
MS Valley St,Grambling
Marquette,South Florida
E Washington,Portland St
Delaware St,Florida A&M
NC Central,Morgan St
James Madison,UNC Wilmington
Kansas,West Virginia
Louisville,Pittsburgh
Delaware,Drexel
Bethune-Cookman,MD E Shore
NC A&T,Coppin St
Minnesota,Nebraska
Liberty,Campbell
Stony Brook,Albany NY
Indiana St,Wichita St
Kentucky,Mississippi
North Carolina,Boston College
Ohio St,Wisconsin
Bradley,Illinois St
Clemson,Georgia Tech
Virginia,NC State
Evansville,Northern Iowa
Tennessee,Vanderbilt
Florida,South Carolina
Indiana,Purdue
Lafayette,Colgate
High Point,Longwood
Kansas St,Texas
Stanford,Oregon
Michigan,Northwestern
Georgetown,Seton Hall
Lehigh,Navy
SF Austin,McNeese St
Colorado St,Boise St
Buffalo,C Michigan
Army,Holy Cross
Creighton,Missouri St
Akron,Bowling Green
Winthrop,Coastal Car
Col Charleston,Appalachian St
UNLV,Nevada
Youngstown St,Valparaiso
Air Force,Fresno St
SMU,Marshall
Loyola-Chicago,WI Milwaukee
Rice,Houston
Delaware,William & Mary
Miami FL,Virginia Tech
Georgia,Auburn
Cincinnati,Rutgers
UCF,Tulane
Temple,Richmond
Detroit,Wright St
Memphis,East Carolina
Toledo,Ball St
UC Irvine,Cal Poly SLO
VA Commonwealth,Rhode Island
Vermont,Hartford
Texas A&M,Mississippi St
UAB,UTEP
Georgia St,Northeastern
Notre Dame,Villanova
Duke,Wake Forest
Drake,S Illinois
St John's,DePaul
Xavier,Dayton
W Michigan,Miami OH
St Joseph's PA,Fordham
New Mexico,Wyoming
Hampton,S Carolina St
USC,UCLA
New Hampshire,Maine
Oklahoma,Baylor
UNC Asheville,Presbyterian
MD Baltimore Co,Binghamton
LSU,Missouri
N Illinois,Kent
Towson,Old Dominion
Oklahoma St,Iowa St
Florida St,Maryland
Long Beach St,Santa Barbara
Massachusetts,La Salle
VMI,Radford
Gardner Webb,Charleston So
Bucknell,American Univ
Gonzaga,Loy Marymount
N Dakota St,Missouri KC
ULL,North Texas
Santa Clara,Portland
Northwestern LA,Lamar
James Madison,Hofstra
Central Conn,Monmouth NJ
Davidson,Samford
Long Island,St Francis PA
Tennessee St,Tennessee Tech
Belmont,Morehead St
St Louis,Butler
Bryant,F Dickinson
Weber St,North Dakota
N Colorado,Idaho St
New Mexico St,Texas St
FL Gulf Coast,North Florida
Denver,UT San Antonio
S Dakota St,South Dakota
Montana,Portland St
Canisius,Loyola MD
SC Upstate,Lipscomb
Arkansas St,South Alabama
Oral Roberts,Nicholls St
Southern Utah,CS Sacramento
Utah St,Idaho
St Francis NY,Robert Morris
Iowa,Penn St
Seattle,San Jose St
Furman,Ga Southern
NE Omaha,IPFW
TN Martin,E Kentucky
Elon,UNC Greensboro
Wagner,Sacred Heart
Citadel,Wofford
CS Northridge,CS Fullerton
Michigan St,Illinois
FL Atlantic,ULM
Arizona St,Washington St
Arizona,Washington
St Mary's CA,San Francisco
Drexel,George Mason
Mt St Mary's,Quinnipiac
W Kentucky,Troy
E Washington,Montana St
Hawaii,UC Riverside
Connecticut,Providence
Niagara,Iona
IL Chicago,WI Green Bay
Alabama,Arkansas
California,Oregon St
BYU,Pepperdine
N Kentucky,ETSU
St Peter's,Marist
Middle Tenn St,Florida Intl
Jacksonville,Stetson
SE Louisiana,Cent Arkansas
Valparaiso,WI Milwaukee
Mercer,Kennesaw
Princeton,Cornell
Brown,Dartmouth
Detroit,Youngstown St
Fairfield,Rider
Penn,Columbia
Harvard,Yale
Siena,Manhattan
Illinois St,S Illinois
TX Southern,Prairie View
St Mary's CA,Portland
Albany NY,Binghamton
S Dakota St,Missouri KC
Memphis,Tulsa
St Louis,Dayton
Southern Univ,Grambling
Maryland,Wake Forest
Col Charleston,UNC Greensboro
Belmont,Tennessee Tech
Utah St,Seattle
Weber St,N Colorado
Georgia St,Old Dominion
Duke,Florida St
Colorado St,Wyoming
N Dakota St,South Dakota
Troy,ULL
Montana,E Washington
Colgate,Holy Cross
BYU,Santa Clara
North Dakota,Idaho St
Creighton,Bradley
UNC Asheville,Campbell
Middle Tenn St,FL Atlantic
Texas,TCU
VA Commonwealth,Fordham
East Carolina,Rice
West Virginia,Texas Tech
CS Northridge,UC Riverside
Kent,E Michigan
Northwestern,Purdue
Denver,Texas St
Delaware,UNC Wilmington
Oakland,NE Omaha
Bucknell,Navy
Bryant,Monmouth NJ
Akron,Ohio
Missouri,Auburn
Arizona,Washington St
Florida,Mississippi
SF Austin,Lamar
William & Mary,Hofstra
New Mexico,Nevada
Arkansas,Tennessee
New Mexico St,UT San Antonio
Louisiana Tech,UT Arlington
CS Bakersfield,Utah Valley
Pacific,UC Davis
Jackson St,Alcorn St
North Carolina,Virginia Tech
Georgetown,St John's
UTEP,Tulane
W Michigan,Buffalo
Georgia,South Carolina
Bowling Green,Ball St
NC Central,Delaware St
George Mason,James Madison
Jacksonville St,Morehead St
Davidson,Wofford
Elon,Samford
Gardner Webb,Longwood
Cleveland St,IL Chicago
Southern Utah,Northern Arizona
Pittsburgh,Syracuse
Winthrop,Liberty
Savannah St,Howard
Norfolk St,Coppin St
High Point,Presbyterian
Coastal Car,Radford
La Salle,G Washington
W Illinois,IUPUI
Houston Bap,NJIT
Mt St Mary's,Sacred Heart
Appalachian St,W Carolina
E Kentucky,SE Missouri St
Dartmouth,Yale
